1.0	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667	nan	nan	*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	"SELECT count(*) FROM log1 WHERE activity=""Closed"""	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	nan
128.0	extra	SELECT log1.activity FROM log1 INTERSECT SELECT log1.activity FROM log1 WHERE log1.costevent = 'terminal'	SELECT activity FROM log7 WHERE activity LIKE '%resgist%' UNION SELECT activity FROM log7 WHERE activity LIKE '%decision%'	2885	2885	nan	nan	Original - o SQL teria que ser distinct	nan	Quais atividades envolvem registro e tomada de decisão?	What activities involve recording and decision making?	SELECT activities FROM log7_excerpt33 WHERE activities LIKE '%resgist%' UNION SELECT activities FROM log7_excerpt33 WHERE activities LIKE '%decision%'	Quais das atividades existentes no log que envolvem ações de 'permissão' ou 'declaração'?	Which of the activities in the log involve 'permit' or 'declaration' actions?	SELECT DISTINCT activity FROM events_log WHERE activity LIKE '%permit%' OR activity LIKE '%declaration%'	S	atividade	nan
129.0	easy	SELECT Count(*) FROM log1 WHERE log1.activity = 'terminal'	SELECT COUNT(activity) FROM log2 WHERE activity = 'Petição Juntada'	2886	2886	nan	nan	Original	nan	"Qual é quantidade de atividades que são classificadas como ""Petição Juntada""?"	"How many activities are classified as ""Petição Juntada""?"	*SELECT COUNT (activity) FROM public.log2_excerpt8 WHERE activity == 'Petição Juntada';	"Quantas vezes a atividade ""declaração rejeitada pelo diretor"" foi executada?"	"How many times was the ""declaration rejected by director"" activity performed?"	SELECT COUNT (*) FROM events_log WHERE activity = 'Declaration rejected by director'	S	eventos	nan
130.0	easy	SELECT Avg(log1.costevent) FROM log1	SELECT AVG(costevent) FROM log2	2887	2887	nan	nan	Original	nan	Qual a média de custo de evento deste log de eventos?	What is the average event cost of this event log?	SELECT AVG (costevent) FROM public.log2_excerpt8	 	nan	SELECT AVG (cost) FROM events_log	S	eventos	Reexecutar quando ajustar os custos no log de eventos.
131.0	extra	SELECT Count(DISTINCT log1.idcase) FROM log1 GROUP BY log1.resource	SELECT resource, COUNT(DISTINCT idcase) FROM log1 GROUP BY resource ORDER BY COUNT(DISTINCT idcase) DESC	2894	2894	nan	nan	Original	nan	Em quantos casos diferentes cada recurso foi utilizado?	In how many different cases was each resource used?	SELECT resource, COUNT(DISTINCT idcase) from Log1_excerpt5 GROUP BY resource ORDER BY Count desc	 	nan	SELECT resource, COUNT(DISTINCT idcase) from events_log GROUP BY resource	S	recurso, caso	similar a outros enunciados anteriores
132.0	easy	SELECT Count(DISTINCT log1.costevent) FROM log1 WHERE log1.idcase = 'terminal'	SELECT Count(*) FROM log6 WHERE resource = 'Peter'	2895	2895	nan	nan	Original	nan	Quantos eventos estão vinculados ao Peter?	How many events are tied to Peter?	select Count(*) from public.log6_excerpt29 Where resource = 'Peter';	 	nan	SELECT count(*) FROM events_log WHERE resource = 'Peter'	S	recurso	Similar a 2670
133.0	easy	SELECT log1.costevent FROM log1 GROUP BY log1.costevent HAVING Count(*) > 'terminal'	SELECT Resource FROM log6 GROUP BY Resource HAVING count(*) > 3	2896	2896	nan	nan	Original	nan	Quais pessoas estão trabalhando em mais de três problemas?	*Which people are working on more than three events?	*select Resource from public.log6_excerpt29 group by Resource having count(*) > 3;	 	nan	SELECT resource FROM events_log GROUP BY resource HAVING COUNT(DISTINCT idcase) > 3	S	recurso	Similar 2866
134.0	extra	SELECT log1.idcase FROM log1 GROUP BY log1.idcase ORDER BY Count(*) Desc	SELECT idcase FROM log6 WHERE activity = 'Wait' OR activity = 'Awaiting Assignment' GROUP BY idcase ORDER BY COUNT(*) DESC	2897	2897	nan	nan	Original - semanticamente errada	nan	Informar quais são os id's dos casos dos problemas que estão em espera ou aguardando algo para seguir, também ordenar mediante a maior quantidade de incidentes para um caso.	Inform what are the case ids of the problems that are on hold or waiting for something to proceed, also sort by the highest number of incidents for a case.	SELECT idcase FROM log6_excerpt30 WHERE activity IN ('Wait', 'Awaiting Assignment') GROUP BY idcase ORDER BY COUNT(*) DESC	Informar os identificadores de casos que passaram pela atividade 'requisição de pagamento'. Ordene a lista de forma ascendente de acordo com a quantidade de eventos por caso.	Inform the cases identifiers that passed through the 'request payment' activity. Sort the list ascending according to the number of events per case.	SELECT idcase, count(*) FROM events_log WHERE idcase IN (SELECT DISTINCT idcase FROM events_log WHERE activity='Request payment' ) GROUP BY idcase ORDER BY count(*)	S	casos	nan
135.0	hard	SELECT * FROM log1 JOIN log5 WHERE log1.startdatetime = 'terminal' ORDER BY * Desc	SELECT startdatetime FROM log4 WHERE activity = 'Closed' OR activity = 'Resolved' ORDER BY startdatetime	2898	2898	nan	nan	Original - usou a semântica do valor do atributo corretamente	nan	Extraia as datas em que os incidentes foram tratados como finalizados do mais antigo ao mais novo	Extract the dates when incidents were treated as closed from oldest to newest	SELECT startdatetime FROM log4_excerpt19 WHERE activity='Closed' OR activity='Resolved' ORDER BY startdatetime	Recupere as datas em que foram registradas a execução das atividades 'fim de viagem' ou 'declaração rejeitada pelo funcionário', ordenando da mais antiga para a mais recente.	Retrieve the dates on which the execution of the 'end trip' or 'declaration rejected by employee' activities were recorded, ordering from oldest to most recent.	SELECT timestamp FROM events_log WHERE activity='End trip' OR activity='Declaration rejected by employee' ORDER BY timestamp 	S	eventos	Nessa consulta, o enunciado solicita somente a data, mas talvez trazer o nome da atividade faça sentido.
136.0	medium	SELECT log1.resource, Count(*) FROM log1 GROUP BY log1.resource ORDER BY Count(*) Asc	SELECT resource, COUNT(activity) FROM log8 WHERE activity = 'assigned' GROUP BY resource	2899	2899	nan	nan	Original - gera dúvidas, né?	nan	Quantas atividades foram atribuídas para cada recurso, em ordem alfabética do recurso?	How many activities have been assigned to each resource, in alphabetical order of the resource?	SELECT resource, COUNT(activity) FROM log8_excerpt36 WHERE activity = assigned GROUP BY resource	 	nan	SELECT resource, COUNT(*) FROM events_log GROUP BY resource	S	recurso	Similar a 2669, 2674 e 2676. Talvez o atribuída seria o nome da atividade, mas existem outras similares também que filtram por uma atividade em específico.
137.0	medium	SELECT log1.costevent FROM log1 WHERE log1.idcase = 'terminal'	SELECT activity FROM log3 WHERE activity LIKE 'A_%'	3000	3000	nan	nan	Original - não acho que devemos falar em subprocessos	nan	Encontrar todos eventos do subprocesso A.	Find all events of the A subprocess.	SELECT activity FROM log3_excerpt11 WHERE activity LIKE 'A_%'	Encontre todos os eventos que estão associados a atividades que iniciam com a letra 'S'.	Find all events that are associated with activities that start with the letter 'S'.	SELECT * FROM events_log WHERE activity LIKE 'S%'	S	eventos	nan
138.0	medium	SELECT log1.idevent, log2.activity, log2.resource, log1.costevent FROM log1 JOIN log2	SELECT idevent, activity, resource, costevent FROM log2 WHERE costevent BETWEEN 3500000 AND 4000000	3001	3001	nan	nan	Original - ficou genérica	nan	Selecione os eventos feitos baseando-se no custo do dito evento. Também exiba o id, a atividade realizada, recurso e custo	Select the events done based on the cost of said event. Also show the id, the activity done, resource used and cost	SELECT idevent, activity, resource, costevent FROM log2_excerpt6 WHERE costevent BETWEEN 3500000 AND 4000000;	 Selecione os eventos cujo custo está entre 50  e 400 e informe os respectivos identificadores de evento, atividades realizadas, recursos e o custos.	nan	SELECT id, activity, resource, cost FROM events_log WHERE cost BETWEEN 50 AND 400	P	eventos	Reexecutar quando ajustar os custos do log de eventos
139.0	easy	SELECT log5.resource FROM log2 JOIN log5 WHERE log2.activity = 'terminal'	SELECT DISTINCT resource FROM log6 WHERE activity = 'Closed'	3003	3003	nan	nan	*Original - não faz nenhum sentido	nan	"*Quais recursos conseguiram atingir o estado ""closed"" em alguma atividade?"	"Which resources mananged to reach ""closed"" status on some activity?"	*SELECT DISTINCT resource FROM log6excerpt29 HAVING activity = closed;	"Quais recursos foram associados à atividade ""declaração salva pelo funcionário""?"	"What resources were associated with the activity ""declaration saved by employee""?"	SELECT DISTINCT resource FROM events_log WHERE activity = 'Declaration saved by employee'	S	recurso	Similar a 2741
140.0	medium	SELECT log5.activity FROM log5	SELECT activity, enddatetime FROM log2 WHERE enddatetime IN ('2020-03-17')	3004	3004	nan	nan	Original - ficou genérico	nan	Selecione as atividades que terminaram no conjunto de datas especificadas usando a coluna enddatetime como referência	Select the activities that ended on the specified dates using the enddatetime column as a reference	SELECT activity, enddatetime FROM log2_excerpt6 where DATE(enddatetime) IN('2020-03-17')	Selecione as atividades dos eventos que terminaram em  '2018-04-12'.	Select activities from events that ended in '2018-04-12'.	SELECT DISTINCT activity FROM (select activity, MAX(timestamp) as timestamp  FROM events_log GROUP by idcase) WHERE timestamp BETWEEN '2018-04-12' AND '2018-04-13'	S	atividade	Nessa consulta para atividades finalizadas foi considerado a última atividade de cada caso.
141.0	extra	SELECT log1.idevent, log1.activity, log1.enddatetime FROM log1 WHERE log1.activity = 'terminal' ORDER BY log1.enddatetime, log1.activity Asc	SELECT idevent, activity, enddatetime FROM log3 WHERE activity LIKE 'A_PARTLYSUBMITTED-COMPLETE' OR activity LIKE 'O_CREATED-COMPLETE' ORDER BY enddatetime	3005	3005	nan	nan	Original - boa mas cheia de semântica	nan	Encontrar o id do evento, a atividade e a data de término do evento para todos eventos parcialmente submetidos do supbprocesso A, ou criados do subprocesso O, ordenando pela data de término.	Find the event id, activity type and end date for all events that are of the A subprocess and are Partly submitted, or are from the O subprocess and are set as created. Order the results by end date.	SELECT idevent, activity, enddatetime FROM log3_excerpt12 WHERE activity LIKE 'A_PARTLYSUBMITTED-COMPLETE' OR activity LIKE 'O_CREATED-COMPLETE' ORDER BY enddatetime	Liste os eventos associados às atividades 'permissão final aprovada pelo supervisor' ou 'declaração aprovada pelo supervisor', informando o identificador do evento, a atividade associada e a data de término da execução de cada um deles e ordenando-os pela data de término.	List the events associated with the activities 'permission final approved by supervisor' or 'declaration approved by supervisor', stating the event identifier, the associated activity and the end date of execution of each of them and ordering them by the end date.	SELECT id, activity, timestamp FROM events_log WHERE activity='Permit final approved by supervisor' OR activity='Declaration approved by supervisor' ORDER BY timestamp	S	eventos	nan
142.0	easy	SELECT log1.resource FROM log1 WHERE log1.costevent != 'terminal'	SELECT * FROM log2 WHERE costevent != 'null'	3007	3007	nan	nan	Original	nan	Selecione todas as linhas onde o custo do evento não é nulo	Select all rows where the cost of the event is not null	SELECT * FROM log2_excerpt6 WHERE costevent IS NOT NULL	 	nan	SELECT * FROM events_log WHERE cost IS NOT NULL	P	eventos	Reexecutar quando ajustar os custos do log de eventos
143.0	medium	SELECT Count(*) FROM log2 WHERE log2.idevent = 'terminal'	SELECT resource, count(*) FROM log2 WHERE activity = 'Decisão' GROUP BY resource	3009	3009	nan	nan	Original	nan	Conte todas as atividades que tem o valor 'Decisão'	Count all the activities that have the value 'Decisão'	SELECT resource, count(*) FROM log2_excerpt6 WHERE activity='Decisão' GROUP BY resource	Quantas vezes a atividade 'permissão final aprovada pelo diretor' foi executada?	How many times has 'permit final approved by director' activity been performed?	SELECT count(*) FROM events_log WHERE activity='Permit final approved by director'	S	eventos	Parecido com 2756, porém sem agrupar por recurso
144.0	medium	SELECT log5.activity FROM log5 WHERE log5.resource LIKE 'terminal'	SELECT enddatetime FROM log1 WHERE resource LIKE '%5' AND activity = 'new'	3012	3012	nan	nan	Original	nan	Quando foram adicionadas novas atividades por recursos terminados em '5'?	When were new activities added by resources ending in '5'?	SELECT enddatetime FROM log1excerpt4 WHERE resource LIKE '%5' AND activity = 'new'	"Considerando os eventos associados à atividade ""inicio de viagem"" e a recursos cujo nome finaliza com 's', recupere seus momentos de execução. "	"Considering the events associated with the ""start trip"" activity and resources whose name ends with 's', retrieve their execution moments."	SELECT timestamp FROM events_log WHERE resource LIKE '%s' AND activity = 'Start trip'	S	eventos	nan
145.0	medium	SELECT Sum(log1.costevent), log1.activity, log1.resource FROM log1	SELECT activity, resource, Sum(costevent) FROM log4 GROUP BY activity, resource	3013	3013	nan	nan	Original - ok	nan	Selecione a soma do costevent, agrupando por activity e resource	Select the sum of the costevent, grouping by activity and resource	select activity, resource, Sum(costevent) from log4_excerpt20 group by activity, resource	 	nan	SELECT activity, resource, SUM(cost) from events_log group by activity, resource	P	atividade, recurso	Reexecutar quando os custos do log de eventos forem ajustados.
146.0	hard	SELECT Count(*), log2.activity FROM log2 GROUP BY log2.activity	SELECT activity, count(activity) FROM log4 WHERE activity = 'Resolved' OR activity = 'In Call' GROUP BY activity	3014	3014	nan	nan	Original - é uma consulta para entrada de dados, não sei é o caso	nan	Selecione o número de ocorrências dado um conjunto de activities	Select the number of occurrences of a given set of activities	select activity, count(activity) from log4_excerpt20 where activity in ('Resolved', 'In Call') group by activity	Recupere a quantidade de vezes que as atividades 'início de viagem' ou 'fim de viagem' ocorreram	Retrieve the number of times 'start trip' or 'end trip' activities occurred	select count(*), activity from events_log where activity='Start trip' or activity='End trip' GROUP BY activity	S	eventos	nan
147.0	medium	SELECT Count(*) FROM log1 WHERE log1.enddatetime > 'terminal'	SELECT activity, count(activity) FROM log5 GROUP BY activity HAVING count(activity) > 3	3015	3015	nan	nan	original - ok	nan	Agrupe as atividades que tem o seu número de ocorrências maior do que um dado valor	Group the number of occurrences of all activities that occurred more than a certain threshold	select activity, count(activity) from log5_excerpt21 group by activity having count(activity) > 3	 	nan	SELECT activity, COUNT(*) FROM events_log GROUP BY activity HAVING COUNT(*) > 3	S	eventos	similar a 2766
148.0	extra	SELECT log1.activity, log1.resource FROM log1 ORDER BY log1.enddatetime Desc LIMIT 1	SELECT resource, activity FROM log1 WHERE enddatetime = (SELECT MAX(enddatetime) FROM log1)	3016	3016	nan	nan	Original	nan	Qual atividade e seu recurso foi a última até agora no log?	Which activity and its resource was the last one on the log so far?	SELECT resource, activity FROM log1excerpt4 WHERE enddatetime = MAX(enddatetime)	 	nan	SELECT resource, activity FROM events_log ORDER BY timestamp DESC LIMIT 1	S	recurso, atividade	nan
149.0	extra	SELECT log1.resource, log1.costevent, log1.activity FROM log1 WHERE log1.startdatetime < (SELECT Min(log1.startdatetime) FROM log1)	SELECT T1.idevent, T2.idevent, T1.activity, T1.resource FROM log4 AS T1 JOIN log5 AS T2 ON T1.startdatetime <= T2.startdatetime WHERE T1.startdatetime <= T2.startdatetime AND T2.activity LIKE 'Closed' ORDER BY T1.idevent	3017	3017	nan	nan	Original - antes ou depois?? não entendi - ele não usa in progress no sql	original	Encontrar os eventos em aberto, assim como o responsável pelo evento, que tenham começado antes ou depois dos eventos que já estão concluídos, e que estejam em progresso.	Find in resource, event id and activity of in progress events that have start date previous to the events that are already closed.	SELECT T1.idevent, T2.idevent AS T2event, T1.activity, T1.resource FROM log4_excerpt16 AS T1 INNER JOIN log5_excerpt22 AS T2 ON T1.startdatetime <= T2.startdatetime WHERE T1.startdatetime <= T2.startdatetime AND T2.activity LIKE 'Closed' ORDER BY T1.idevent	Encontrar os eventos dos cases, assim como o responsável pela atividade executada no evento, que tenham ocorrido depois de um evento de execução da atividade 'fim de viagem'. 	Find the case events, as well as the person responsible for the activity performed in the event, that occurred after an event involving the execution of the 'end trip' activity.	select e1.id, e1.resource from events_log AS e1 inner join events_log AS e2 on e1.idcase = e2.idcase  WHERE e2.activity='End trip' and e1.timestamp > e2.timestamp	S	eventos, recurso	"Nessa consulta considerei trazer todos os eventos após a execução da atividade ""end trip"" de cada caso."
150.0	hard	SELECT Count(*) FROM log1 WHERE log1.costevent != 'terminal'	SELECT COUNT(idevent), resource FROM log4 WHERE activity NOT LIKE 'Closed' GROUP BY resource	3018	3018	nan	nan	Original - usou o valor do atributo e usou errado	nan	Encontrar o número de eventos de cada recurso que não esteja fechado.	Find the number of events per resouce that are not closed.	SELECT COUNT(idevent), resource FROM log4_excerpt16 WHERE activity not LIKE 'Closed' GROUP BY resource	"Encontrar o número de eventos executados por cada recurso que não correspondam à atividade ""fim de viagem""."	"Find the number of events executed by each resource that do not correspond to the ""end trip"" activity."	SELECT COUNT(*), resource FROM events_log WHERE activity != 'End trip' GROUP BY resource	S	recurso, eventos	Parecido 2688 e 2756
151.0	extra	SELECT log1.idcase FROM log1 ORDER BY log1.enddatetime Desc	SELECT idcase, MAX(startdatetime) FROM log6 GROUP BY idcase ORDER BY MAX(startdatetime)	2833	2833	nan	nan	Original - consulta boa mas formulação estranha	 	Para cada instância de processo, qual é (em ordem cronológica) a data de início de evento mais posterior?	For each process instance, what is (in chronological order) the farthest event start date?	SELECT idcase,MAX(startdatetime) AS farthest_date FROM log6_excerpt28 GROUP BY idcase ORDER BY MAX(startdatetime) ;	 	nan	SELECT idcase FROM events_log GROUP BY idcase ORDER BY MIN(timestamp) DESC	S	casos	Deixei uma consulta com timestamp, porém a refetência sem timestamp
152.0	medium	SELECT Count(*) FROM log1 WHERE log1.idcase = 'terminal'	SELECT COUNT(*) FROM log3 WHERE activity LIKE '%Afhandelen leads-COMPLETE%'	2834	2834	nan	nan	Original - usa semântica	nan	Quantos empréstimos foram completados com Afhandelen ?	How many loans were completed with Afhandelen ?	SELECT COUNT(*) FROM log_table WHERE activity LIKE '%Afhandelen leads-COMPLETE%'	"Quantas instâncias de processo passaram pela atividade ""requisição de pagamento""?"	How many process instances passed through 'request payment' activity?	"SELECT COUNT(DISTINCT idcase) FROM events_log WHERE activity = ""Request payment"""	S	casos	Similar a 2735 e parecido com 2792 e 2824, porém sem o filtro de datas
153.0	hard	SELECT log1.idcase FROM log1 WHERE log1.idcase = 'terminal' ORDER BY log1.enddatetime Desc LIMIT 1	SELECT DISTINCT idcase FROM log2 WHERE enddatetime IN (SELECT enddatetime FROM log2 WHERE activity = 'Decisão')	2835	2835	nan	nan	Original - mas quais quantos??? 	nan	"Quais foram os últimos casos em questão de tempo a chegar na activity ""Decisão""?"	"Which cases were the last ones in the matter of time to reach the activity ""Decisão""?"	"SELECT DISTINCT idcase FROM gerenciamento_de_incidentes WHERE enddatetime = ALL ( SELECT enddatetime FROM gerenciamento_de_incidentes WHERE activity = ""Decisão"" )"	"Qual caso foi o último a executar uma atividade de ""declaração final aprovada pelo diretor""?"	"Which case was the last one in the matter of time to reach the activity ""declaration final approved by director""?"	SELECT idcase FROM events_log WHERE activity = 'Declaration final approved by director' ORDER by timestamp DESC LIMIT 1	S	casos	nan
154.0	extra	SELECT log1.resource FROM log1 JOIN log8 JOIN log2 WHERE * = 'terminal' GROUP BY log1.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource, COUNT(DISTINCT idcase) FROM log6 WHERE activity = 'Closed' GROUP BY resource ORDER BY COUNT(DISTINCT idcase) DESC LIMIT 1	2837	2837	nan	nan	Original - está um pouco estranha	nan	"Qual recurso mais atualiza casos como ""Closed""?"	"Which resource updates the most cases as ""Closed""?"	"SELECT resource, COUNT(DISTINCT idcase) FROM GERENCIAMENTO_DE_PROBLEMAS_ABERTOS_VOLVO WHERE activity = ""Closed"" GROUP BY 1 ORDER BY 2 DESC LIMIT 1"	Qual recurso mais atua na atividade 'declaração aprovada pela administração'?	Which resource is most active in the 'declaration approved by administration' activity?	"SELECT resource FROM events_log WHERE activity = ""Declaration approved by administration"" GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1"	S	recurso	nan
155.0	medium	SELECT Count(*) FROM log1	SELECT COUNT(*), resource FROM log5 GROUP BY resource	2841	2841	nan	nan	Original - usa semântica e chama recurso de usuário	nan	Quantos chamados cada usuário submeteu?	How many tickets did each user submit?	SELECT COUNT(*), resource FROM log5_excerpt25 GROUP BY resource	 	nan	SELECT COUNT(*), resource FROM (SELECT resource, MIN(timestamp) from events_log GROUP BY idcase) GROUP BY resource	S	recurso, casos	Consegui resolver a consulta somente com subconsulta
156.0	medium	SELECT log1.resource FROM log1	SELECT * FROM log3 WHERE activity LIKE '%ACCEPTED%'	2842	2842	nan	nan	Original - usa semãntica	nan	Quais requisições foram aceitas?	Which requisitions were accepted?	SELECT * FROM log3_excerpt15 WHERE activity LIKE '%ACCEPTED%'	Quantos casos passaram por atividades 'aprovação'?	"How many cases passed through ""approved"" activities?"	"SELECT COUNT(DISTINCT idcase) FROM events_log WHERE activity LIKE ""%approved%"""	S	casos	Similar a 2735 e parecido com 2792 e 2824 e 2834, porém sem o filtro de datas. Nessa utiliza operador LIKE
157.0	hard	SELECT Count(*), log1.idcase FROM log1 GROUP BY log1.idcase	SELECT COUNT(*), enddatetime FROM log3 WHERE activity LIKE '%DECLINED%' GROUP BY enddatetime	2843	2843	nan	nan	Original - usa semãntica	nan	Quantos casos foram rejeitados por dia?	How many cases were declined per day?	SELECT COUNT(*), enddatetime FROM log3_excerpt15 WHERE activity LIKE '%DECLINED%' GROUP BY enddatetime	Em quantos casos atividades do tipo 'rejeitada' foram executadas, por dia?	How many cases of 'rejected' type activities were carried out per day?	SELECT COUNT(*), timestamp FROM events_log WHERE activity LIKE '%Rejected%' GROUP BY timestamp	P	casos	Precisa rever como tratar essas consultas com data, uma vez que o conjunto de dados Spider não possui consultas com alguma função de datetime
158.0	hard	SELECT log1.idcase, Sum(log1.enddatetime) FROM log1 GROUP BY log1.startdatetime ORDER BY Count(*) Desc LIMIT 1	SELECT idcase, (MAX(enddatetime) - MIN(enddatetime)), COUNT(idevent) FROM log2 GROUP BY idcase HAVING COUNT(idevent) > 20 ORDER BY COUNT(idevent) ASC LIMIT 5	2844	2844	nan	nan	Original	nan	Quais os 5 processos com mais ações e quanto tempo demorou entre a primeira e ultima ação para cada processo	What are the top 5 processes with the most actions and how long did it take between the first and last actions for each process	SELECT idcase, MAX(enddatetime) - MIN(enddatetime), COUNT(idevent) FROM log_excerpt GROUP BY idcase HAVING COUNT(idevent) > 20 ORDER BY COUNT(idevent) ASC LIMIT 5;	 	nan	SELECT idcase, MAX(timestamp) - MIN(timestamp), COUNT(*) FROM events_log GROUP BY idcase ORDER BY COUNT(*) DESC LIMIT 5 	P	casos	Verificar como tratar essas questões de diferença de data
159.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais são os cinco processos mais longo em termos de eventos, que tenham no mínimo 20 eventos, e qual é o seu tempo de duração?	nan	SELECT idcase, MAX(enddatetime) - MIN(enddatetime), COUNT(idevent) FROM log_excerpt GROUP BY idcase HAVING COUNT(idevent) > 20 ORDER BY COUNT(idevent) ASC LIMIT 5;	Quais são os cinco processos mais longo em termos de eventos, que tenham no mínimo 20 eventos, e qual é o seu tempo de duração?	nan	SELECT idcase, MAX(timestamp) - MIN(timestamp), COUNT(*) FROM events_log  GROUP BY idcase HAVING count(*) >= 20 ORDER BY COUNT(*) DESC LIMIT 5	P	casos	Verificar como tratar essas questões de diferença de data.
160.0	extra	SELECT log1.idcase FROM log5 ORDER BY log5.enddatetime Asc LIMIT 1	(SELECT idcase FROM log2 GROUP BY idcase ORDER BY MAX(enddatetime) DESC) EXCEPT (SELECT idcase FROM log2 WHERE activity = 'Decisão') LIMIT 10	2845	2845	nan	nan	Original	nan	Quais os dez processos mais recentes que não tiveram a decisão executada	what are the ten most recent cases that did not have a decision	(SELECT idcase FROM log_excerpt group by idcase order by MAX(enddatetime) desc ) except (select idcase FROM log_excerpt WHERE activity = 'Decisão') limit 10	"Quais os dez processos mais recentes em que a atividade ""requisição de pagamento"" não foi executada?"	"What are the ten most recent process tha ""request payment"" activity was not executed?"	SELECT DISTINCT idcase, timestamp FROM events_log WHERE idcase NOT IN (SELECT DISTINCT idcase FROM events_log WHERE activity = 'Request payment' ) ORDER BY timestamp DESC LIMIT 10	nan	casos	Achei um pouco ambigua essa consulta. Não está claro o que é mais recente.
161.0	medium	SELECT log1.activity FROM log1 GROUP BY log1.activity HAVING Count(log1.costevent) <= 'terminal'	SELECT idcase FROM log7 GROUP BY idcase HAVING count(idevent) < 11 ORDER BY max(enddatetime) DESC	2848	2848	nan	nan	Original	nan	Quais processos tiveram 10 eventos ou menos	Which processes had 10 events or less	select idcase FROM public.log_excerpt group by idcase having count(idevent) < 11 order by max(enddatetime) desc	 	nan	SELECT idcase FROM events_log group by idcase having count(*) <= 10	S	casos	Similar a 2681, 2689 e a nova consulta da 2725
162.0	medium	SELECT Avg(*) FROM log1 WHERE log1.costevent < 'terminal'	SELECT AVG(costevent) FROM log8 WHERE enddatetime < '2018-01-01' AND activity = 'Payment Handled'	2849	2849	nan	nan	Original - tem semântica	nan	Qual a média de valores de reembolso para viagens realizadas antes de 2018?	What is the average reimbursement value for trips before 2018?	SELECT AVG(costevent) FROM log8_excerpt36 WHERE enddatetime < '2018-01-01' AND activity = 'Payment Handled'	Qual a média de custo da atividade 'pagamento efetivado', para eventos realizados antes de 2018?	What is the average cost for 'payment handled' activity, for events before 2018?	SELECT AVG(cost) FROM events_log WHERE timestamp < '2018-01-01' AND activity = 'Payment handled'	S	eventos	Nesse contexto fiquei em dúvida se seriam os casos realizados (como saber o que é um caso realizado), talvez eventos?
163.0	hard	SELECT log1.activity, Count(*) FROM log1 GROUP BY log1.activity	SELECT idcase, COUNT(*) FROM log8 WHERE activity LIKE 'Permit%' GROUP BY idcase	2850	2850	nan	nan	Original	nan	Quantas atividades relacionadas à autorização de viagem foram realizadas por cada declaração?	How many activities related to trip permits were made by each different declaration	SELECT log8_excerpt36.idcase, COUNT(*) FROM log8_excerpt36 WHERE activity LIKE 'Permit%' GROUP by idcase	"Quantas atividades de ""permissão"" foram realizadas para cada caso?"	"How many related ""permit"" activities were made for each case?"	SELECT idcase, COUNT(*) FROM events_log WHERE activity LIKE 'Permit%' GROUP by idcase	S	casos	nan
164.0	medium	SELECT Count(*), log1.resource FROM log1 GROUP BY log1.resource	SELECT resource, COUNT(*) FROM log4 WHERE activity = 'In Progress' GROUP BY resource	2851	2851	nan	nan	Original - o SQL não responde	nan	Quantos incidentes em andamento estão atribuídos a cada funcionário?	How many in progress incidents are assigned to each employee?	SELECT log4_excerpt17.resource, COUNT(*) FROM log4_excerpt17 WHERE activity = 'In Progress' GROUP BY resource	Quantos casos passaram pela atividade 'declaração rejeitada pelo supervisor' e qual foi o recurso responsável?	How many cases passed through the 'declaration rejected by supervisor' activity and which resource was responsible?	SELECT COUNT(DISTINCT idcase), resource FROM events_log WHERE activity = 'Declaration rejected by supervisor'  GROUP BY resource	S	casos	Nessa requisição em um mesmo caso somente o mesmo recurso pode executar a atividade.
165.0	medium	SELECT log7.idcase, Count(*) FROM log7 GROUP BY log7.idcase	SELECT activity, COUNT(*) FROM log4 GROUP BY activity	2852	2852	nan	nan	Original	nan	"Quantos incidentes estão relacionados a cada ""status"" diferente?"	How many incidents are in each different status?	SELECT log4_excerpt17.activity, COUNT(*) FROM log4_excerpt17 GROUP BY activity	 	nan	nan	N	casos	Não entendi o propósito dessa consulta. O que seriam as atividades possíveis?
166.0	extra	SELECT * FROM log1 JOIN log5 WHERE log1.costevent = 'terminal' AND log1.enddatetime > 'terminal'	SELECT * FROM log3 as le WHERE le.activity LIKE 'W_%' AND le.enddatetime > (SELECT MAX(le2.enddatetime) FROM log3 as le2 WHERE le2.activity LIKE 'O_%')	2854	2854	nan	nan	Original - não vamos falar em subprocesso	nan	Quais são os eventos do subprocesso W que aconteceram depois de todos os eventos do subprocesso O?	What are the events of subprocess W that happened after all the events of subprocess O?	select * from log3_excerpt13 le where le.activity like 'W_%' and le.enddatetime > all (select le2.enddatetime from log3_excerpt13 le2 where le2.activity like 'O_%')	 	nan	nan	N	eventos	Não entendi essa consulta.
